feat,score
99,0.0002044524762999586
60,8.508603108732787e-05
37,7.84687389721447e-05
54,0.00012200813204068378
115,0.0003233652821323218
69,0.0008866380269204749
59,0.0006267721485021024
85,0.00014313138440047533
53,0.0002687785446414746
15,6.505902783778689e-07
11,4.2338109087804165e-06
91,5.9850960021487834e-05
114,4.149038559127585e-05
103,7.346334160423379e-07
1,5.3458230667172146e-05
10,5.010411563589282e-05
4,8.782473799352417e-05
39,0.00011075129571456316
104,2.2850047570544332e-05
28,3.8383638555638394e-05
90,5.9620597879389906e-05
27,0.00014642786634615906
58,1.2872480428343519e-05
36,0.00026101650296792445
40,5.634393111860923e-05
29,8.309750480074533e-05
80,0.00029007888244755517
111,0.00011168192513244047
98,0.00011232716204655473
93,6.527152084203833e-05
43,1.1667385576619171e-05
63,0.00015050788257046747
44,2.662646155203452e-05
121,6.299635708609122e-05
5,5.671603511232977e-05
105,0.00020336474538918715
120,0.00020379954125099124
68,5.334920962605204e-05
66,7.142399507236753e-05
49,3.7561332314105245e-05
33,0.0001507775607297449
19,6.682982818531982e-05
17,6.904532874702721e-05
62,8.447092457708125e-06
97,5.570327870358348e-05
70,5.367374686791621e-05
25,5.560863530264812e-05
31,0.00011081318854642627
18,5.7406403633190536e-05
56,0.00010674142417782181
89,0.0001551459320525768
88,6.647131798195871e-05
