feat,score
90,3.763604841108825e-05
111,7.961659105270268e-07
67,2.1725221501153573e-05
109,0.000522184889947562
121,9.551422839627162e-05
57,0.00010427314116684926
39,3.277924227235683e-05
120,0.0009872457664421696
27,3.0266376111347075e-05
25,9.667526326402782e-05
50,4.1087364334431095e-05
105,6.999260913085215e-05
46,3.66337684045686e-05
53,0.00019140677692478826
2,6.568595377774017e-05
115,0.0003946873705427331
10,9.097732661995928e-05
62,0.00019085257571430612
61,0.0003454940643483782
82,2.8504383813875156e-05
88,3.9900821698833806e-05
66,3.0051974544720653e-05
40,3.9891310016844025e-05
18,0.00010358458345565563
60,4.710469949092662e-05
112,1.4590721040486088e-05
97,8.607694547959049e-05
71,7.761874270192058e-05
72,0.0002157318879812617
91,4.780512539181384e-05
58,5.5930665387197206e-05
123,1.8130859460027335e-05
45,0.0001505888565013578
43,0.00014136102647342198
102,0.0012290489945870429
89,6.910668708418012e-05
37,5.838525262044647e-05
4,0.0006195907932258198
104,0.0002488202594161477
68,4.23781231355452e-05
85,6.302392139313426e-05
101,3.197926444704034e-05
69,0.0009845414823123934
103,8.262085240945578e-06
31,5.798779066292924e-05
44,2.4898915440683955e-05
59,0.001113522440783242
42,0.00010072794325569068
63,0.00014283184286755304
56,1.2936417463660713e-05
65,3.584385474357868e-05
93,2.8368466185650816e-05
17,9.599931965930363e-05
51,2.8125103404513406e-05
5,9.188956168037533e-05
33,1.024036823387732e-05
28,1.2439545397980624e-05
