feat,score
82,1.7161075413114901e-06
115,5.6447258137359846e-05
53,1.9848687926347225e-05
97,5.67956787016731e-06
5,4.41095514980977e-06
43,1.4412153535946215e-05
17,7.82727207434674e-06
105,1.1061304940427653e-05
121,4.8483181565271705e-06
112,1.5005687111291702e-06
37,2.025781927310344e-06
71,4.067121916939611e-06
109,6.662570917633859e-05
25,7.323692150164492e-06
10,7.170378995016713e-06
62,2.50972284020802e-05
2,3.3234045857810646e-06
46,1.7608668955934603e-06
18,7.529876983783379e-06
67,1.5279069050331412e-07
57,1.0414106900351675e-05
91,3.2778144824210584e-07
66,2.371495635746998e-06
45,5.663259460466502e-06
103,1.1194527921041045e-06
4,9.435519821572504e-05
120,0.0001349729080803927
65,4.898729811102752e-06
42,1.1848680966014113e-05
61,4.3118287585176135e-05
63,2.5601935929940416e-05
101,2.7924512759074267e-06
104,1.6418196365885172e-05
69,0.0001046317844673305
72,1.5863298126771175e-05
59,0.00013980609775111723
102,0.0001226715160408797
