feat,score
6,5.780287835696618e-05
116,4.860696300800112e-05
57,0.00021445090011238972
47,9.021286000668836e-05
33,0.00016543200446589995
27,0.00022420856360088823
90,8.544210029849328e-05
22,7.877125565799656e-05
12,8.046133922589432e-06
102,0.0007492064412304676
65,2.5955621612037266e-05
4,0.00048339067390853335
89,9.481581440586029e-05
85,5.891880147187046e-05
62,0.00010608599554706027
63,6.393623823133104e-05
30,0.00014424814550245343
68,1.0679090325854852e-05
49,9.459719483460513e-06
18,6.995979822460412e-05
50,1.630947649812562e-05
25,7.400036596028146e-05
113,4.4234063051987876e-05
61,1.5484543161129426e-05
120,0.0005721442249953385
10,6.917635663043417e-05
23,8.781653029527395e-05
109,0.00029103964786869954
88,9.174994394355908e-05
44,3.901996609252884e-05
42,5.606897024632539e-06
114,0.00022221377989495306
31,3.849475575202696e-05
67,9.927124962374329e-05
51,0.0002725064093392856
15,0.00011160474956398679
106,3.028440438213563e-05
97,4.490335650416972e-05
76,4.2167797994114437e-05
86,0.00010316560563102678
48,2.1246440876292877e-05
71,0.00019193824814317875
36,0.00020073895602917835
104,1.9173762846265256e-05
121,7.011262891550886e-05
60,2.7522371625985503e-05
46,4.085199357475172e-05
112,2.46924651301373e-05
40,1.8786047719245892e-05
5,6.928824533074165e-05
74,3.641375998840717e-05
38,4.936848600431594e-05
2,4.8923461453784234e-05
17,6.675610157852734e-05
103,1.4395058984983944e-05
58,0.0001248201942291756
21,0.00011376988967396959
