feat,score
11,8.363376214500472e-05
91,0.00016618623493066045
74,4.754123864239568e-05
72,0.0006446757345486172
42,0.00031379326290550784
67,0.0005192252300559343
27,0.001061636770126403
47,3.798831672594677e-05
89,8.509026280661969e-07
46,3.182124917943058e-05
66,6.796630592774541e-05
112,5.525674435173395e-05
41,0.004483897306147438
119,1.0966353416977381e-05
93,0.00014175308138592718
78,0.000176268389694402
65,1.0181507843055534e-05
54,0.00038791601387814026
35,3.7333071711751625e-05
101,0.00015073338885304016
55,0.00150553571889038
76,5.015542962987212e-05
73,0.0012791527595172533
19,3.8875611704250034e-05
28,0.00039715273574188236
50,0.00027514310727786914
40,0.0005847790829456405
114,2.0078929756850265e-05
86,0.00010074028464504082
9,5.75385256950528e-07
68,0.0002578137030706702
69,0.0008135315890164876
62,0.0013753546287219253
95,6.778801434138837e-05
59,0.001054118627483308
34,0.0019492124367189306
104,2.850348158162791e-05
49,0.0001855961140951991
