feat,score
60,3.13486627445958e-05
28,0.00011887100742176849
32,0.00012778666937153862
71,1.9904719473788114e-05
90,2.1671318821055944e-05
80,0.0016453492331770202
68,0.00013700890829002228
17,8.216967088015264e-05
88,2.606360479721556e-05
121,7.985812808722001e-05
9,0.00012202113843595014
91,0.00013080095563569507
86,0.0002431770343155129
113,2.466250707881118e-06
109,0.00018041901163158916
49,0.00011621660179470146
96,0.00012443510922850384
62,4.759788981258638e-05
89,0.00010250193969280931
10,7.815212263797503e-05
1,0.0002277045555656755
38,0.0002558176865908087
45,0.00027079832875818305
85,6.83225122648512e-05
31,6.097719199227129e-05
51,0.000172582127094454
97,0.0001822443085108599
92,0.00034269462451611
39,9.427841719593551e-05
56,7.87478028429281e-05
29,0.00017145842308096976
50,4.462454303185825e-05
111,6.454435092735113e-05
37,3.509027000285752e-05
44,2.021671934953912e-05
98,3.651189354459891e-05
40,3.606493093964713e-05
74,4.6275399464803385e-05
11,5.629587595796723e-06
42,5.659299070005178e-05
84,1.4120614678175825e-05
46,4.7031246820088135e-05
82,3.228891161178443e-05
116,1.701943463068567e-05
93,0.00013768412511739984
33,1.0396336997117034e-05
5,8.857164490173549e-05
25,8.072710950991812e-05
2,0.00015008229943252321
76,2.656893685439206e-05
18,9.256534321773306e-05
