feat,score
27,0.00011172007886919855
56,5.363064938724259e-05
96,1.6925576914318067e-05
4,8.626753592772679e-06
85,0.0001644148296847431
63,2.679907726213515e-05
114,5.012852429104979e-05
126,6.38761653183953e-07
43,0.00019415731202601996
115,0.00013705517677111909
111,0.00021986403516320412
15,1.560617212251203e-06
22,0.00010353754474817616
82,9.134286542828579e-06
69,0.0001642319438628012
42,0.0001948058611489327
113,4.4856087411024835e-06
86,9.001376096921462e-05
31,0.00013919959241293078
68,0.0001158969840949816
59,0.00029672731717361907
67,3.609580482600433e-05
62,0.00010188640058479692
117,9.29232012433015e-05
84,4.6169017695069786e-05
25,0.00018169476274535346
120,7.094947183782299e-05
29,6.932345097584395e-05
50,9.586787659514664e-05
60,9.193258281503134e-05
53,0.00024117689509843207
121,0.00019784452557443898
21,0.00010662942589269135
89,0.00015624016967446044
1,8.026251944311807e-05
93,0.0003714878731110524
5,0.00018273675103219408
119,1.0216379784131618e-05
2,0.00016249932246257918
61,2.954078165690391e-06
118,2.7581103093813047e-05
23,0.00011646608068866145
18,0.00019489775940510073
72,1.1532700058814599e-05
80,0.00016552017765651683
90,0.0002946905242343263
46,4.613088533115921e-05
36,0.00010510611028810915
39,0.00011030661830363324
97,0.00019388920506380409
58,3.515184933218594e-05
91,0.0003564560717309456
76,1.224019845882246e-05
35,7.327515240008672e-05
44,8.45664626378459e-05
95,2.447659723334855e-05
17,0.00018528465336272934
28,0.00012060134993804612
40,0.00013411087604951136
33,0.00018662338496818268
10,0.00018751874731506987
6,9.653628849477097e-05
41,0.00014007754953496154
88,0.0003014388358478764
37,0.0002950739110056562
