feat,score
35,1.336895144735898e-05
67,6.906832171457884e-05
71,1.1252376877343359e-05
25,4.982915361724516e-06
29,9.489469904172543e-07
113,3.5194625798906295e-07
50,3.6455355532450176e-06
90,1.8103105495145821e-06
10,3.702493005177873e-06
31,5.030276862141164e-05
91,1.486590867241398e-05
33,0.0006360063674325355
37,2.1911815477808003e-05
70,3.889339184521591e-06
121,4.61570298037825e-06
57,2.8498222765381293e-05
27,6.898522064037894e-05
85,2.6570518332222695e-05
80,5.215621927173904e-05
93,8.973495380677678e-06
95,1.5162689671788417e-06
34,6.390649597492852e-05
84,5.030363791169983e-06
82,1.7334048243132505e-06
54,1.4427856465926842e-05
111,2.9451652244920617e-05
18,5.1085480387992165e-06
30,7.236324587035943e-06
105,4.162547126251338e-05
49,2.1417248555460205e-06
20,8.002978557368826e-06
89,3.455479251491828e-05
97,2.1585633546951193e-05
40,2.4093446568135973e-06
5,5.362768803056882e-06
17,4.98498803774795e-06
98,6.525523036451236e-05
47,2.9710296930128555e-06
128,1.5147857703949608e-05
88,1.7433966088484243e-06
102,2.0986149921412706e-06
