feat,score
28,5.21154995644891e-05
92,2.9673258434308267e-05
44,5.0474120433176024e-05
93,2.9334790868733134e-05
97,4.9764797625463826e-05
59,4.220053399966745e-05
36,2.6904917409895784e-06
48,2.6961841679485482e-05
56,0.0008443203871929417
32,0.0002982304506422284
58,8.329295941921638e-05
30,4.207778451974882e-05
29,0.0001123328609092325
60,0.00023203580458421198
50,1.062632805768314e-06
118,2.7315259233358716e-06
89,4.802002801773371e-05
67,5.836342399595691e-05
11,5.617011113670176e-06
121,6.670945181298273e-05
42,6.613940001280738e-05
119,5.370073283765542e-06
22,0.0021221259694449886
16,0.0001740355005814681
45,0.00020479477968177694
25,6.492928519417906e-05
15,1.4074478358189202e-06
18,5.606478851303263e-05
35,1.0680063630688717e-05
62,0.00013722161997836886
85,5.545981532634539e-05
63,0.00012593177145955262
39,6.223671501017457e-05
95,3.762947635163865e-05
82,3.1799552048036514e-05
40,7.87993264645486e-05
76,0.000113721740736949
69,4.809985730012435e-05
10,5.880848384085197e-05
57,0.00011219901301976094
17,6.17963612093951e-05
90,1.4688273078924605e-05
128,4.092424381820989e-05
27,2.1116896288695883e-05
68,0.0001996433139594021
122,0.000314994704149002
31,2.9211221296208262e-05
88,1.1988547184659665e-05
9,1.134240244761442e-05
54,0.00013563675563689741
5,6.687181905240015e-05
86,0.0004942264175002639
114,4.633528933358985e-05
91,3.193190812362558e-05
49,0.00026308919563177227
64,0.00013219761424615104
