feat,score
103,0.00043396592702221563
113,3.225962851277804e-05
98,0.00019451452031135847
27,0.0006715340919382744
115,0.0001971730435475147
63,0.00024026921467181807
4,0.00035918088587924904
121,3.175394097543237e-05
85,0.00010396295870067091
122,0.00024424230565275006
31,0.0001682720233758335
43,0.00022050166889880582
120,0.0004187654617195842
73,4.825903000751572e-05
12,4.208746882322818e-06
65,8.278974978423968e-06
109,0.0022305873244490466
89,0.00011073956803373929
11,4.517724398571399e-09
59,0.00019343287639831536
35,2.652795445455894e-05
13,1.2289711009392384e-05
42,0.00048004195986090957
45,0.00019522587804142282
30,0.0013888156279707325
90,4.336198835310379e-05
102,0.0012065369698151043
72,3.576451814229706e-05
105,0.002216180608550909
58,0.000313270828851399
8,0.00042560919960338284
124,0.004219736480724233
88,3.423317686330075e-05
92,0.00042413949870247214
104,0.0005848481383602354
38,0.0006674018937057706
55,1.1657699649079978e-05
57,0.00031049897678790076
62,0.00011745719504171115
46,1.6793003423979172e-05
