feat,score
114,2.9414044042008064e-05
28,1.640854502709928e-05
85,1.3207757943520769e-05
93,0.00037404505106871516
111,0.0005928402714496838
92,9.833608370932948e-05
95,6.232852304413443e-05
89,4.073828961309806e-05
124,0.0003511976547285883
18,4.957550484917944e-05
82,1.083302765523056e-05
15,4.945138765223914e-05
4,0.0008781887642505329
97,9.50871958992224e-06
1,0.00010724647418982117
37,0.0002773550332917894
40,1.2275356482077757e-06
126,2.33177492042682e-06
36,0.0002104998298097559
120,0.0009678923911310925
91,0.0004061066964339685
50,4.7532131321184265e-05
90,0.00044594743893177583
17,2.896211896332747e-05
117,2.940213961120236e-05
62,8.217163279053506e-06
5,4.660011821944394e-05
39,6.747086632244437e-07
84,4.844715163786206e-06
121,4.05531221103427e-05
100,3.632118758794406e-06
10,4.41926922112707e-05
25,4.784202886095289e-05
67,1.5717042614785126e-05
19,7.153131921908834e-05
35,9.67329660046326e-05
86,0.00022053466508743704
71,0.0001038218198138284
99,0.0006343855302787318
33,0.0002994190523132158
53,0.00043437489215544627
2,4.081414993663962e-05
13,2.7865066867426708e-05
113,3.212073870829252e-05
115,0.0006095709779965937
109,0.0010136761859820022
88,0.000441521425004511
69,0.00013352706732103984
31,5.1579910826160535e-05
43,0.00012454044971053208
58,0.00017168588212391513
29,1.270913386577574e-05
59,3.4335071679929274e-05
68,5.6716226179151855e-06
