feat,score
57,1.6257887532030932e-05
32,2.0558434692379696e-05
22,0.00030683313848955257
49,2.230696534787687e-05
62,2.4761620714221222e-05
128,3.660225631014688e-06
16,9.53276574799022e-06
58,1.0343942740373077e-05
11,1.206543612450317e-07
76,1.7131625981929577e-05
126,1.4260566539615882e-07
69,7.587201454422026e-06
30,1.9526579211159682e-06
114,2.4076221476279636e-06
122,1.7483911048359578e-05
86,5.2801845316783474e-05
63,2.0734692753971058e-05
56,0.0002002232786369948
44,3.2860169696244043e-06
60,5.558887399743006e-05
67,6.085108493390778e-06
40,1.1149065896942645e-05
29,2.00197733987717e-05
54,7.775702646961244e-06
82,1.8095692296080795e-06
119,6.034982073244155e-07
59,4.827419746830826e-06
95,2.7515318908911957e-06
45,1.5712371243188292e-05
5,8.437130676539062e-07
68,3.642612780889801e-05
28,3.954420704771824e-06
64,2.508430571057825e-05
47,4.001706824997842e-06
48,7.862448483438728e-07
