feat,score
103,8.353020739801376e-06
65,2.1300954336975902e-05
11,3.030533244754996e-06
120,1.499204087710218e-05
9,2.5082644337520027e-05
86,7.704923643230693e-05
85,1.9629872523381844e-05
27,0.0005126637697533843
5,5.27435486414032e-05
31,2.410764808647792e-05
41,0.0037915839036786816
55,0.0016508640912341332
50,0.001082366889667773
33,0.00019205787841757374
17,5.015050377304379e-05
40,0.0016936339320358105
28,0.0013679681272178055
62,0.000643109169799292
121,4.308043517732888e-05
25,3.7777046020659195e-05
54,0.0004908954819054373
10,2.9210327103681598e-05
88,1.342041281915938e-05
89,2.9662596332250034e-05
68,0.0010714458819446326
42,0.0008671672038900956
19,5.6596622144906676e-05
72,0.0008033001190578459
47,7.499657701736002e-05
37,2.2397470869455795e-05
67,0.0006748349516537619
45,0.00026055744388155805
43,3.078080294556789e-05
34,0.0019972490307928453
15,6.794760507716768e-09
90,5.091896417207427e-06
18,4.780179427231728e-05
32,9.010709776097366e-05
113,3.3812498467122865e-05
49,0.0007652952850115153
46,3.317385650534067e-05
73,0.001695594898673762
97,3.743682328507169e-05
