feat,score
105,0.0002451347213094576
59,6.272313680032778e-06
45,4.8847637371560344e-05
102,0.0001440125572428029
120,7.065786867265248e-05
122,3.0748540477917776e-05
62,3.0220398918954366e-06
38,0.0001320777280794487
42,7.947868744878628e-05
113,1.8235118273614986e-06
13,1.7715416849185123e-06
4,6.496405716426403e-05
46,1.3287978258957195e-07
98,3.751091958925992e-05
43,4.343645811632959e-05
57,3.5459189158944856e-05
8,6.0045816842652436e-05
58,5.158142712093517e-05
31,1.4759439244056531e-05
115,3.708487084433734e-05
104,3.9270850232902416e-05
30,0.00021901070674595208
63,2.4033911156520586e-05
27,0.00010945417691729
99,9.66998608393707e-07
103,4.240119077319766e-05
92,7.395778312262007e-05
124,0.0002909256383108374
12,8.94573667623369e-07
109,0.0002985147455882853
